Duró como 15 minutos #temblorCR	NotEyewitness
#temblorcr en Rohrmoser se sintió muy fuerte y se quebraron cosas. @nacion	NotEyewitness
RT @3U22: #temblorcr se sintió muy muy fuerte ! #semesalioelcerote	NotEyewitness
siempre me agarra el #temblorcr cuando reviso twitter! jajaja cosas de la vida	Eyewitness
Temblor en el segundo piso de la #ECCI #UCR (un edificio viejo que se mueve demasiado) es otra cosa! #temblorcr	Eyewitness
Muy fuerte #temblorcr en guadalupe con caídas de objetos @ameliarueda @RadioReloj 	NotEyewitness
#temblorcr Fuerte sismo también se sintió en territorio nicaraguense	NotEyewitness
RT @AlertaNews: URGENTE: Terremoto en Costa Rica de 7.9º AVISO DE TSUNAMI: Costa Rica, Panama, Nicaragua, El Salvador, Honduras, Mexico, ...	NotEyewitness
En mi Ksa se salió el agua de la pecera y se cayeron adornos #temblorcr	Eyewitness
RT @24HorasTVN: AHORA: Terremoto de 7,9 en #CostaRica/ Ampliamos en http://t.co/wdjXMzjN	NotEyewitness
RT @JRIbarra: Terremoto en Costa Rica, amigos en el exterior: la capital se encuentra sin daños importants de momento. sentido en todo e ...	NotEyewitness
RT @CNNEE: URGENTE: Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos. http://t.co/VThN0aU8	NotEyewitness
Terremoto  7.9º En Costa Rica  Autoridades Locales entregan detalles de 6.7º, No se reportan mayores informaciones.	NotEyewitness
La alerta de tsunami a causa del terremoto en Costa Rica llega hasta Ecuador, ¿nos salvamos? ._.	NotEyewitness
RT @MIGAND75: Ahora #CostaRica se cimbra con fuerte #sismo de 7.9	NotEyewitness
Alerta de Tsunami en todo la costa de Costa Rica terremoto 7.9	NotEyewitness
RT @GuillermoARuiz: Terremoto en Costa Rica: RT @nacion  Según USGS el sismo habría sido de 7,9 grados con epicentro en #Guanacaste	NotEyewitness
RT @Meganoticiascl: EN DESARROLLO Terremoto 7,9 grados se registró en Costa Rica. Activan alerta de Tsunami para Centro América y Sudamé ...	NotEyewitness
@elsalvadorcom: Según USGS, sismo de 7.9 se sintió hace unos minutos (8:42 am) en #CostaRica con epicentro en Guanacaste.	NotEyewitness
RT @espinozajs: sismo de 7.9 FUE A 12.4 millas de profundidad #CostarICA	NotEyewitness
RT @AndreaAristegui: SHOA publica alerta de tsunami para las costas de Chile tras terremoto en Costa Rica. http://t.co/MYzaVoz0	NotEyewitness
RT @CNNEE: Tras el sismo de 7,9 en #CostaRica hay alerta de #tsunami para toda la zona costera desde #Centroamérica hasta #Brasil: http: ...	NotEyewitness
Dice @julio2j: : URGENTE// Un terremoto de magnitud 7,9 sacudió #CostaRica, según el Servicio Geológico de Estados Unidos (vía @CNNE)	NotEyewitness
RT @UniNoticias: Sismo 7.9 en  #CostaRica. Se activa alerta de Tsunami.	NotEyewitness
Algún amigo en Costa Rica?? Todo bien por allá? #terremoto	NotEyewitness
RT @CANAL15NIC: #Nicaragua. Alerta de #tsunami en el pacífico tras #temblor con epicentro en Costa Rica. http://t.co/TL81VGDr	NotEyewitness
