RT @FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km	NotEyewitness
@FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km	NotEyewitness
buenos dias con ese #temblorgt	NotEyewitness
RT @tcsnoticias: Sismo fue sensible en la capital de Guatemala	NotEyewitness
Fuerte sismo sacude Guatemala, México y buena parte de Centroamèrica.	NotEyewitness
Preliminar 6.35  del #sismo que se sintio hace unos momentos en el DF m	NotEyewitness
RT @amigosderafa: #sismo #Xalapa #Veracruz con precaución y tranquilidad por favor	NotEyewitness
RT @uhprensagrafica: Sismo de 7.5 grados Richter es registrado en Champerico, Guatemala a las 10:35 a.m. http://t.co/V6oIBnrE	NotEyewitness
RT @SkyAlertMx: Al parecer el sismo fue en la frontera con Guatemala. 7.5 es el nuevo preliminar. #SismoEnVivo	NotEyewitness
RT @CNNMex: Un #temblor de 7.3 grados con epicentro en #Chiapas se siente el sur de #México, #Guatemala y El #Salvador  http://t.co/92nCUNEi	NotEyewitness
RT @CNNEE: El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/yDRsOrLf	NotEyewitness
Impactantes imágenes de la devastación luego del temblor #TemblorGT http://t.co/l59X7nde	NotEyewitness
El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/vZSVoCCY	NotEyewitness
RT @inocarec: #Sismo en #México de 7.5 grados, no provoca alerta de #tsunami para costas de #Ecuador y #Galápagos.	NotEyewitness
RT @Luisaa_Madrid: ¿Quién sintió un aguadamiento con el #TemblorGT? Ü/	Eyewitness
RT @INFORMADORCHILE: Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther	NotEyewitness
