_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,accessible,accessible:confidence,relevant,relevant:confidence,what_is_the_source_of_the_information_communicated_in_this_tweet,what_is_the_source_of_the_information_communicated_in_this_tweet:confidence,accessible_gold,information_source,relevant_gold,tweet_link,what_is_the_source_of_the_information_communicated_in_this_tweet_gold
1648638385,false,in progress,1,3/23/2018 15:53:25,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/868689493/status/903326895734796288,
1648638386,false,finalized,3,3/24/2018 00:37:33,true,1.0,false,0.6598,,0,,,,https://twitter.com/339439446/status/901837978154258432,
1648638387,false,finalized,3,3/24/2018 00:30:29,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/4197305289/status/902160241961443330,
1648638388,false,finalized,3,3/23/2018 22:01:24,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/20946303/status/901657066082897921,
1648638391,false,finalized,3,3/23/2018 23:09:15,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6775,,,,https://twitter.com/103313263/status/901476058322620417,
1648638392,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/833825180984160262/status/903028583773466626,
1648638393,false,finalized,3,3/24/2018 00:10:50,true,1.0,true,0.6683,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6683,,,,https://twitter.com/33728225/status/902966597911846912,
1648638394,false,finalized,3,3/24/2018 01:07:38,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",0.6754,,,,https://twitter.com/844777245738643456/status/901486228092182530,
1648638395,false,finalized,3,3/24/2018 00:54:39,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6693,,,,https://twitter.com/728076621169590273/status/902380927187374080,
1648638397,false,finalized,3,3/24/2018 00:05:24,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/744059406376116224/status/902229278787588097,
1648638398,false,finalized,3,3/24/2018 01:09:53,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/19750596/status/901562469612568576,
1648638399,false,finalized,3,3/24/2018 00:54:36,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/883529255853867008/status/901599645125791750,
1648638400,false,finalized,3,3/24/2018 01:26:38,true,1.0,false,0.6704,,0,,,,https://twitter.com/79506638/status/902225588387278848,
1648638401,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/312451084/status/902957807628058624,
1648638402,false,in progress,2,3/24/2018 00:38:55,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/261479621/status/902088870673698816,
1648638403,false,finalized,3,3/23/2018 19:31:47,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/41108844/status/902265293413777408,
1648638405,false,finalized,3,3/24/2018 00:03:28,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/15853787/status/901320282782277632,
1648638406,false,finalized,3,3/24/2018 00:46:36,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",0.6574,,,,https://twitter.com/43021363/status/901650017269809152,
1648638407,false,finalized,3,3/23/2018 23:26:26,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/847299844062433281/status/901575244879724545,
1648638408,false,finalized,3,3/23/2018 19:27:34,false,1.0,,,,,,,,https://twitter.com/21110041/status/902954468781772800,
1648638409,false,in progress,1,3/23/2018 15:53:25,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/34457142/status/901434634311012352,
1648638410,false,finalized,3,3/24/2018 00:37:25,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/809399242213257216/status/903239110550278144,
1648638411,false,in progress,2,3/23/2018 22:57:59,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/2922404605/status/901427541633716224,
1648638413,false,finalized,3,3/23/2018 22:49:04,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6681,,,,https://twitter.com/877158523649613824/status/902196582061395968,
1648638415,false,finalized,3,3/23/2018 23:22:31,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/26558075/status/901387409262342144,
1648638419,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/2877712525/status/901325167577542656,
1648638420,false,in progress,2,3/23/2018 23:41:13,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/633155947/status/901682027417796608,
1648638421,false,finalized,3,3/24/2018 00:46:21,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/56717592/status/901434739286044673,
1648638423,false,finalized,3,3/24/2018 00:21:21,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6791,,,,https://twitter.com/291359269/status/901220044113416193,
1648638424,false,finalized,3,3/24/2018 00:47:26,false,0.6572,,0,,0,,,,https://twitter.com/864647370352492544/status/901623585223172096,
1648638425,false,finalized,3,3/24/2018 00:55:42,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/180986738/status/902676728954339328,
1648638426,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/460618332/status/901510626253709312,
1648638427,false,finalized,3,3/24/2018 00:47:27,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6717,,,,https://twitter.com/360201349/status/901470290118496256,
1648638428,false,finalized,3,3/24/2018 00:10:34,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/2409978284/status/901343680791011328,
1648638429,false,finalized,3,3/23/2018 19:44:26,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/18719880/status/902913044703051777,
1648638430,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6662,,,,https://twitter.com/60984870/status/902316438014197760,
1648638433,false,finalized,3,3/24/2018 00:56:55,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/9711232/status/901635589002461184,
1648638434,false,finalized,3,3/24/2018 01:33:33,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6595,,,,https://twitter.com/2742139077/status/902309985325068288,
1648638435,false,finalized,3,3/24/2018 01:24:23,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/276355170/status/901977872751001601,
1648638436,false,finalized,3,3/24/2018 01:20:02,true,1.0,true,0.6709,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",0.6709,,,,https://twitter.com/827358355/status/901616220880990208,
1648638437,false,in progress,2,3/24/2018 01:23:13,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/883067750/status/901629149789519872,
1648638438,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/94938043/status/901535343362670592,
1648638439,false,finalized,3,3/24/2018 00:37:49,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/881711855001063425/status/901635706535256068,
1648638440,false,finalized,3,3/24/2018 01:19:39,true,0.6776,true,0.6776,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6776,,,,https://twitter.com/22878374/status/901751372634259456,
1648638442,false,finalized,3,3/24/2018 01:20:55,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/40616060/status/901627976869171200,
1648638443,false,finalized,3,3/24/2018 01:07:46,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/17058930/status/902338362689949696,
1648638444,false,finalized,3,3/24/2018 00:22:34,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/2393013956/status/901520708764913667,
1648638445,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/60452453/status/902519219044143105,
1648638446,false,finalized,3,3/23/2018 21:29:30,true,1.0,true,0.6741,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",0.6741,,,,https://twitter.com/217268069/status/901549991470170114,
1648638447,false,finalized,3,3/23/2018 22:48:26,false,1.0,,,,,,,,https://twitter.com/107159364/status/903168239303147520,
1648638453,false,finalized,3,3/23/2018 20:51:57,true,1.0,false,0.665,,0,,,,https://twitter.com/963512402/status/901434887508557824,
1648638456,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6662,,,,https://twitter.com/269937984/status/901423326341419012,
1648638457,false,finalized,3,3/24/2018 00:54:25,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/1676285761/status/901175481407463424,
1648638458,false,finalized,3,3/24/2018 00:08:17,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/546707720/status/902289102254604289,
1648638459,false,finalized,3,3/24/2018 00:22:23,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.671,,,,https://twitter.com/3246432674/status/901841511964389376,
1648638461,false,finalized,3,3/23/2018 15:55:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/2407623792/status/901634476043771904,
1648638463,false,in progress,1,3/23/2018 15:53:25,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/2268892597/status/902334831073341440,
1648638465,false,finalized,3,3/23/2018 22:17:25,true,1.0,false,1.0,,,,,,https://twitter.com/822693156/status/901554566017294338,
1648638466,false,in progress,2,3/24/2018 01:18:10,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.5116,,,,https://twitter.com/255150464/status/902717492430241795,
1648638467,false,finalized,3,3/23/2018 22:13:58,true,1.0,false,1.0,,,,,,https://twitter.com/5357662/status/902200768979075076,
1648638468,false,finalized,3,3/24/2018 00:03:37,false,1.0,,,,,,,,https://twitter.com/310274417/status/901341557235863552,
1648638469,false,finalized,3,3/24/2018 01:24:09,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/232744937/status/902518778831003649,
1648638470,false,in progress,1,3/23/2018 15:53:25,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/270066597/status/903354814897278977,
1648638471,false,finalized,3,3/24/2018 00:46:36,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/5639862/status/902555271540727808,
1648638473,false,finalized,3,3/23/2018 23:40:16,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,,https://twitter.com/32178071/status/901576654140698626,
1648638474,false,in progress,1,3/23/2018 15:53:25,true,1.0,false,1.0,,,,,,https://twitter.com/901404676062535680/status/901941762523938816,
