_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,accessible,accessible:confidence,relevant,relevant:confidence,what_is_the_source_of_the_information_communicated_in_this_tweet,what_is_the_source_of_the_information_communicated_in_this_tweet:confidence,accessible_gold,relevant_gold,tweet_link,what_is_the_source_of_the_information_communicated_in_this_tweet_gold
1875540566,false,finalized,5,8/24/2018 04:38:39,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2480244282/status/906355573041520640,
1875540567,false,finalized,3,8/24/2018 04:49:01,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/62178507/status/906371021971759104,
1875540568,false,finalized,4,8/24/2018 04:55:36,false,1.0,,,,,,,https://twitter.com/245438202/status/906363255710519296,
1875540569,false,finalized,3,8/24/2018 05:39:44,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/534959161/status/906354386393227264,
1875540570,false,finalized,4,8/24/2018 05:46:39,false,1.0,,,,,,,https://twitter.com/2955953686/status/909115220471222278,
1875540571,false,finalized,4,8/24/2018 05:03:34,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/94432240/status/906356991102255104,
1875540572,false,finalized,3,8/24/2018 04:29:47,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2546311025/status/906401513760628736,
1875540573,false,finalized,3,8/24/2018 05:20:18,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2293461662/status/906407245424025600,
1875540574,false,finalized,3,8/24/2018 05:34:06,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/18728203/status/909110482501619714,
1875540575,false,finalized,4,8/24/2018 05:04:28,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/4332619115/status/906354440214421504,
1875540577,false,finalized,3,8/24/2018 05:29:41,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/795241549/status/906353884788129792,
1875540578,false,finalized,4,8/24/2018 05:13:46,true,1.0,false,0.7549,,0,,,https://twitter.com/1064754524/status/906352559744602120,
1875540579,false,finalized,3,8/24/2018 03:51:32,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/3338174165/status/909022933640712192,
1875540580,false,finalized,4,8/24/2018 05:33:34,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/16302043/status/906351429136388102,
1875540581,false,finalized,3,8/24/2018 05:04:25,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2150596793/status/908970073737646080,
1875540582,false,finalized,3,8/24/2018 05:12:39,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/35298247/status/906351913104560129,
1875540583,false,finalized,3,8/24/2018 04:48:05,true,1.0,true,0.6615,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.6615,,,https://twitter.com/387876936/status/906434953428303872,
1875540584,false,finalized,3,8/24/2018 03:38:35,false,1.0,,,,,,,https://twitter.com/978861740/status/906435576861208576,
1875540585,false,finalized,4,8/24/2018 05:28:47,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/213897006/status/906345731203764224,
1875540586,false,finalized,3,8/24/2018 04:54:54,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2812223238/status/906353252446490625,
1875540587,false,finalized,3,8/24/2018 05:13:15,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2593165068/status/906387295644917763,
1875540589,false,finalized,3,8/24/2018 05:15:25,false,1.0,,,,,,,https://twitter.com/3888262278/status/906405802315059200,
1875540590,false,finalized,3,8/24/2018 05:20:26,true,1.0,true,1.0,"Information originating from eyewitnesses of the event or of response/recovery operations, or from their family, friends, neighbors, etc.",0.6626,,,https://twitter.com/278163796/status/906367640939229184,
1875540591,false,finalized,3,8/24/2018 04:52:26,false,1.0,,,,,,,https://twitter.com/148943263/status/906381931058745345,
1875540592,false,finalized,3,8/24/2018 05:02:38,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/3824923812/status/906366069891227648,
1875540593,false,finalized,3,8/24/2018 12:43:33,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2945549779/status/906374701483618304,
1875540594,false,finalized,3,8/24/2018 05:20:03,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/3277655246/status/906387496342310913,
1875540595,false,finalized,4,8/24/2018 04:39:38,true,1.0,true,0.7533,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.7533,,,https://twitter.com/1872081372/status/906352288431853569,
1875540596,false,finalized,5,8/24/2018 05:41:23,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/2256803946/status/906360281638608898,
1875540597,false,finalized,3,8/24/2018 04:58:38,false,0.6686,,0,,0,,,https://twitter.com/403772574/status/906353063509753857,
1875540598,false,finalized,3,8/24/2018 12:33:58,false,1.0,,,,,,,https://twitter.com/441567721/status/906352677134757888,
1875540599,false,finalized,3,8/24/2018 05:13:17,false,0.6733,,0,,0,,,https://twitter.com/2171487918/status/906407488962019328,
1875540600,false,finalized,4,8/24/2018 05:26:39,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",0.7515,,,https://twitter.com/874251688932249601/status/906430343812706304,
1875540601,false,finalized,3,8/24/2018 05:18:26,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/44983352/status/906424936280973312,
1875540602,false,finalized,3,8/24/2018 05:27:29,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/65788998/status/906374056450158597,
1875540603,false,finalized,3,8/24/2018 04:55:21,false,1.0,,,,,,,https://twitter.com/790057338598109184/status/906363029343928325,
1875540604,false,finalized,3,8/24/2018 04:20:04,false,1.0,,,,,,,https://twitter.com/2484125263/status/906442422674186240,
1875540605,false,finalized,3,8/24/2018 04:42:27,true,1.0,true,1.0,"Information not originating from eyewitnesses of the event or of response/recovery operations, nor from their family, friends, neighbors, etc.",1.0,,,https://twitter.com/1621271/status/906438647041241088,
